
   Begin Kepler Problem

Problem Arguments:
  stepper:              1
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 26.0001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000007152557373
t = 26.1001, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000007748603821
ROOT RETURN:	t = 26.1637 g[0] =  -1, y[0] = -0.658772, y[1] = 0.798616
t = 26.1637, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000007748603821
t = 26.2001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000006556510925
t = 26.3001, H(p,q)-H0 = 0.0000005662441254, L(p,q)-L0 = 0.0000006556510925
t = 26.4001, H(p,q)-H0 = 0.0000005662441254, L(p,q)-L0 = 0.0000007152557373
t = 26.5001, H(p,q)-H0 = 0.0000006854534149, L(p,q)-L0 = 0.0000007152557373
t = 26.6001, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = 0.0000003576278687
t = 26.7001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000003576278687
t = 26.8001, H(p,q)-H0 = 0.0000002682209015, L(p,q)-L0 = 0.0000002980232239
t = 26.9001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000002384185791
t = 27.0001, H(p,q)-H0 = 0.0000005364418030, L(p,q)-L0 = 0.0000005364418030
t = 27.1001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000004172325134
t = 27.2001, H(p,q)-H0 = 0.0000006556510925, L(p,q)-L0 = 0.0000004768371582
t = 27.3001, H(p,q)-H0 = 0.0000005662441254, L(p,q)-L0 = 0.0000004172325134
t = 27.4001, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000005364418030
t = 27.5001, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = 0.0000002980232239
t = 27.6001, H(p,q)-H0 = 0.0000002682209015, L(p,q)-L0 = 0.0000001192092896
t = 27.7001, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = 0.0000002980232239
t = 27.8001, H(p,q)-H0 = 0.0000005066394806, L(p,q)-L0 = 0.0000003576278687
t = 27.9001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = 0.0000001788139343
t = 28.0001, H(p,q)-H0 = 0.0000004172325134, L(p,q)-L0 = 0.0000000596046448
t = 28.1001, H(p,q)-H0 = 0.0000002980232239, L(p,q)-L0 = -0.0000003576278687
t = 28.2001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = -0.0000002384185791
t = 28.3001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = -0.0000002980232239
t = 28.4001, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = -0.0000000596046448
t = 28.5001, H(p,q)-H0 = 0.0000004470348358, L(p,q)-L0 = 0.0000000000000000
t = 28.6001, H(p,q)-H0 = 0.0000002980232239, L(p,q)-L0 = -0.0000001192092896
t = 28.7001, H(p,q)-H0 = 0.0000002682209015, L(p,q)-L0 = -0.0000000596046448
t = 28.8001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000004768371582
t = 28.9001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = -0.0000005364418030
t = 29.0001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000005364418030
t = 29.1001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000005960464478
t = 29.2001, H(p,q)-H0 = -0.0000001788139343, L(p,q)-L0 = -0.0000008344650269
t = 29.3001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000005960464478
t = 29.4001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000005960464478
t = 29.5001, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000008344650269
t = 29.6001, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000008344650269
t = 29.7001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000005960464478
t = 29.8001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000007748603821
t = 29.9001, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000008344650269
t = 30.0001, H(p,q)-H0 = -0.0000003576278687, L(p,q)-L0 = -0.0000008344650269
t = 30.1001, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = -0.0000009536743164
t = 30.2001, H(p,q)-H0 = -0.0000006556510925, L(p,q)-L0 = -0.0000009536743164
t = 30.3001, H(p,q)-H0 = -0.0000010728836060, L(p,q)-L0 = -0.0000013113021851
t = 30.4001, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000010728836060
t = 30.5001, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000010728836060
t = 30.6001, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000011920928955
t = 30.7001, H(p,q)-H0 = -0.0000004172325134, L(p,q)-L0 = -0.0000010728836060
t = 30.8001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000011324882507
t = 30.9001, H(p,q)-H0 = -0.0000001788139343, L(p,q)-L0 = -0.0000008344650269
t = 31.0001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000008940696716
t = 31.1001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000010728836060
t = 31.2001, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000012516975403
t = 31.3001, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000013113021851
ROOT RETURN:	t = 31.3022 g[0] =   1, y[0] = 0.361067, y[1] = -0.221049
t = 31.3022, H(p,q)-H0 = -0.0000008344650269, L(p,q)-L0 = -0.0000012516975403
t = 31.4001, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = -0.0000010132789612
t = 31.5001, H(p,q)-H0 = 0.0000004768371582, L(p,q)-L0 = -0.0000009536743164
t = 31.6001, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = -0.0000010132789612
t = 31.7001, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000011920928955
t = 31.8001, H(p,q)-H0 = -0.0000004768371582, L(p,q)-L0 = -0.0000013113021851
t = 31.9001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000010728836060
t = 32.0001, H(p,q)-H0 = -0.0000007748603821, L(p,q)-L0 = -0.0000015497207642
t = 32.1001, H(p,q)-H0 = -0.0000011920928955, L(p,q)-L0 = -0.0000019073486328
t = 32.2001, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000023841857910
t = 32.3001, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000026822090149
t = 32.4001, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000029802322388
ROOT RETURN:	t = 32.4471 g[0] =  -1, y[0] = -0.658933, y[1] = 0.798604
t = 32.4471, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000028014183044
t = 32.5001, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000028610229492
t = 32.6001, H(p,q)-H0 = -0.0000023245811462, L(p,q)-L0 = -0.0000029802322388
t = 32.7001, H(p,q)-H0 = -0.0000025629997253, L(p,q)-L0 = -0.0000030994415283
t = 32.8001, H(p,q)-H0 = -0.0000026226043701, L(p,q)-L0 = -0.0000030994415283
t = 32.9001, H(p,q)-H0 = -0.0000025033950806, L(p,q)-L0 = -0.0000030994415283
t = 33.0001, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000029802322388
t = 33.1001, H(p,q)-H0 = -0.0000022649765015, L(p,q)-L0 = -0.0000029206275940
t = 33.2001, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000026226043701
t = 33.3001, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000027418136597
t = 33.4001, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000027418136597
t = 33.5001, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000028014183044
t = 33.6001, H(p,q)-H0 = -0.0000020861625671, L(p,q)-L0 = -0.0000028610229492
t = 33.7001, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000026822090149
t = 33.8001, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000026822090149
t = 33.9001, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000025629997253
t = 34.0001, H(p,q)-H0 = -0.0000017881393433, L(p,q)-L0 = -0.0000023245811462
t = 34.1001, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000024437904358
t = 34.2001, H(p,q)-H0 = -0.0000018477439880, L(p,q)-L0 = -0.0000022649765015
t = 34.3000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000024437904358
t = 34.4000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000023841857910
t = 34.5000, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000026226043701
t = 34.6000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000026822090149
t = 34.7000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000025033950806
t = 34.8000, H(p,q)-H0 = -0.0000018477439880, L(p,q)-L0 = -0.0000024437904358
t = 34.9000, H(p,q)-H0 = -0.0000017285346985, L(p,q)-L0 = -0.0000022053718567
t = 35.0000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000025629997253
t = 35.1000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000024437904358
t = 35.2000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000026822090149
t = 35.3000, H(p,q)-H0 = -0.0000021457672119, L(p,q)-L0 = -0.0000026226043701
t = 35.4000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000025629997253
t = 35.5000, H(p,q)-H0 = -0.0000017285346985, L(p,q)-L0 = -0.0000023245811462
t = 35.6000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000022649765015
t = 35.7000, H(p,q)-H0 = -0.0000017285346985, L(p,q)-L0 = -0.0000022053718567
t = 35.8000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000022649765015
t = 35.9000, H(p,q)-H0 = -0.0000019669532776, L(p,q)-L0 = -0.0000022053718567
t = 36.0000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000020861625671
t = 36.1000, H(p,q)-H0 = -0.0000017881393433, L(p,q)-L0 = -0.0000019073486328
t = 36.2000, H(p,q)-H0 = -0.0000020265579224, L(p,q)-L0 = -0.0000021457672119
t = 36.3000, H(p,q)-H0 = -0.0000019073486328, L(p,q)-L0 = -0.0000017881393433
t = 36.4000, H(p,q)-H0 = -0.0000018477439880, L(p,q)-L0 = -0.0000017285346985
t = 36.5000, H(p,q)-H0 = -0.0000016689300537, L(p,q)-L0 = -0.0000015497207642
t = 36.6000, H(p,q)-H0 = -0.0000015497207642, L(p,q)-L0 = -0.0000014305114746
t = 36.7000, H(p,q)-H0 = -0.0000013709068298, L(p,q)-L0 = -0.0000011920928955
t = 36.8000, H(p,q)-H0 = -0.0000009536743164, L(p,q)-L0 = -0.0000009536743164
t = 36.9000, H(p,q)-H0 = -0.0000005364418030, L(p,q)-L0 = -0.0000004768371582
t = 37.0000, H(p,q)-H0 = -0.0000005960464478, L(p,q)-L0 = -0.0000005364418030
t = 37.1000, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = -0.0000003576278687
t = 37.2000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000001192092896
t = 37.3000, H(p,q)-H0 = 0.0000008344650269, L(p,q)-L0 = 0.0000002384185791
t = 37.4000, H(p,q)-H0 = 0.0000005960464478, L(p,q)-L0 = 0.0000003576278687
t = 37.5000, H(p,q)-H0 = 0.0000007152557373, L(p,q)-L0 = 0.0000004172325134
ROOT RETURN:	t = 37.5852 g[0] =   1, y[0] = 0.361069, y[1] = -0.221048
t = 37.5852, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000005960464478
t = 37.6000, H(p,q)-H0 = 0.0000015497207642, L(p,q)-L0 = 0.0000005960464478
t = 37.7000, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = 0.0000007748603821
t = 37.8000, H(p,q)-H0 = 0.0000030994415283, L(p,q)-L0 = 0.0000009536743164
t = 37.9000, H(p,q)-H0 = 0.0000035762786865, L(p,q)-L0 = 0.0000010132789612
t = 38.0000, H(p,q)-H0 = 0.0000039339065552, L(p,q)-L0 = 0.0000011920928955
t = 38.1000, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000011324882507
t = 38.2000, H(p,q)-H0 = 0.0000041723251343, L(p,q)-L0 = 0.0000013113021851
t = 38.3000, H(p,q)-H0 = 0.0000046491622925, L(p,q)-L0 = 0.0000014901161194
t = 38.4000, H(p,q)-H0 = 0.0000042915344238, L(p,q)-L0 = 0.0000013113021851
t = 38.5000, H(p,q)-H0 = 0.0000045299530029, L(p,q)-L0 = 0.0000016093254089
t = 38.6000, H(p,q)-H0 = 0.0000049471855164, L(p,q)-L0 = 0.0000019073486328
t = 38.7000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000017285346985
ROOT RETURN:	t = 38.7300 g[0] =  -1, y[0] = -0.658721, y[1] = 0.798627
t = 38.7300, H(p,q)-H0 = 0.0000047981739044, L(p,q)-L0 = 0.0000015497207642
t = 38.8000, H(p,q)-H0 = 0.0000049471855164, L(p,q)-L0 = 0.0000017881393433
t = 38.9000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000018477439880
t = 39.0000, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000019073486328
t = 39.1000, H(p,q)-H0 = 0.0000053346157074, L(p,q)-L0 = 0.0000022649765015
t = 39.2000, H(p,q)-H0 = 0.0000051856040955, L(p,q)-L0 = 0.0000020861625671
t = 39.3000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000019073486328
t = 39.4000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000017881393433
t = 39.5000, H(p,q)-H0 = 0.0000050365924835, L(p,q)-L0 = 0.0000020861625671
t = 39.6000, H(p,q)-H0 = 0.0000049769878387, L(p,q)-L0 = 0.0000019669532776
t = 39.7000, H(p,q)-H0 = 0.0000049769878387, L(p,q)-L0 = 0.0000018477439880
t = 39.8000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000019073486328
t = 39.9000, H(p,q)-H0 = 0.0000049471855164, L(p,q)-L0 = 0.0000019073486328
t = 40.0000, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000021457672119
t = 40.1000, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000022649765015
t = 40.2000, H(p,q)-H0 = 0.0000049173831940, L(p,q)-L0 = 0.0000019073486328
t = 40.3000, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000022053718567
t = 40.4000, H(p,q)-H0 = 0.0000050663948059, L(p,q)-L0 = 0.0000021457672119
t = 40.5000, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000019669532776
t = 40.6000, H(p,q)-H0 = 0.0000050663948059, L(p,q)-L0 = 0.0000022053718567
t = 40.7000, H(p,q)-H0 = 0.0000050663948059, L(p,q)-L0 = 0.0000020861625671
t = 40.7999, H(p,q)-H0 = 0.0000049471855164, L(p,q)-L0 = 0.0000020265579224
t = 40.8999, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000021457672119
t = 40.9999, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000016689300537
t = 41.0999, H(p,q)-H0 = 0.0000049173831940, L(p,q)-L0 = 0.0000015497207642
t = 41.1999, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000014901161194
t = 41.2999, H(p,q)-H0 = 0.0000047385692596, L(p,q)-L0 = 0.0000011920928955
t = 41.3999, H(p,q)-H0 = 0.0000048875808716, L(p,q)-L0 = 0.0000014305114746
t = 41.4999, H(p,q)-H0 = 0.0000050663948059, L(p,q)-L0 = 0.0000016689300537
t = 41.5999, H(p,q)-H0 = 0.0000051558017731, L(p,q)-L0 = 0.0000019073486328
t = 41.6999, H(p,q)-H0 = 0.0000052452087402, L(p,q)-L0 = 0.0000020861625671
t = 41.7999, H(p,q)-H0 = 0.0000051856040955, L(p,q)-L0 = 0.0000021457672119
t = 41.8999, H(p,q)-H0 = 0.0000051856040955, L(p,q)-L0 = 0.0000021457672119
t = 41.9999, H(p,q)-H0 = 0.0000053048133850, L(p,q)-L0 = 0.0000022649765015
t = 42.0999, H(p,q)-H0 = 0.0000053048133850, L(p,q)-L0 = 0.0000023841857910
t = 42.1999, H(p,q)-H0 = 0.0000051856040955, L(p,q)-L0 = 0.0000020861625671
t = 42.2999, H(p,q)-H0 = 0.0000050663948059, L(p,q)-L0 = 0.0000019073486328
t = 42.3999, H(p,q)-H0 = 0.0000048279762268, L(p,q)-L0 = 0.0000015497207642
t = 42.4999, H(p,q)-H0 = 0.0000047683715820, L(p,q)-L0 = 0.0000015497207642
t = 42.5999, H(p,q)-H0 = 0.0000047385692596, L(p,q)-L0 = 0.0000015497207642
t = 42.6999, H(p,q)-H0 = 0.0000047385692596, L(p,q)-L0 = 0.0000014305114746
t = 42.7999, H(p,q)-H0 = 0.0000047981739044, L(p,q)-L0 = 0.0000013709068298
t = 42.8999, H(p,q)-H0 = 0.0000046491622925, L(p,q)-L0 = 0.0000012516975403
t = 42.9999, H(p,q)-H0 = 0.0000048279762268, L(p,q)-L0 = 0.0000013113021851
t = 43.0999, H(p,q)-H0 = 0.0000046491622925, L(p,q)-L0 = 0.0000010728836060
t = 43.1999, H(p,q)-H0 = 0.0000049471855164, L(p,q)-L0 = 0.0000011920928955
t = 43.2999, H(p,q)-H0 = 0.0000048279762268, L(p,q)-L0 = 0.0000013709068298
t = 43.3999, H(p,q)-H0 = 0.0000050067901611, L(p,q)-L0 = 0.0000014305114746
t = 43.4999, H(p,q)-H0 = 0.0000044107437134, L(p,q)-L0 = 0.0000012516975403
t = 43.5999, H(p,q)-H0 = 0.0000050067901611, L(p,q)-L0 = 0.0000014901161194
t = 43.6999, H(p,q)-H0 = 0.0000044107437134, L(p,q)-L0 = 0.0000013113021851
t = 43.7999, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000011324882507
ROOT RETURN:	t = 43.8684 g[0] =   1, y[0] = 0.361066, y[1] = -0.221056
t = 43.8684, H(p,q)-H0 = 0.0000042915344238, L(p,q)-L0 = 0.0000011324882507
t = 43.8999, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000010728836060
t = 43.9999, H(p,q)-H0 = 0.0000042915344238, L(p,q)-L0 = 0.0000011920928955
t = 44.0999, H(p,q)-H0 = 0.0000047683715820, L(p,q)-L0 = 0.0000013709068298
t = 44.1999, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000011920928955
t = 44.2999, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000011920928955
t = 44.3999, H(p,q)-H0 = 0.0000051259994507, L(p,q)-L0 = 0.0000015497207642
t = 44.4999, H(p,q)-H0 = 0.0000047087669373, L(p,q)-L0 = 0.0000013113021851
t = 44.5999, H(p,q)-H0 = 0.0000041127204895, L(p,q)-L0 = 0.0000008940696716
t = 44.6999, H(p,q)-H0 = 0.0000041127204895, L(p,q)-L0 = 0.0000008344650269
t = 44.7999, H(p,q)-H0 = 0.0000039935112000, L(p,q)-L0 = 0.0000007748603821
t = 44.8999, H(p,q)-H0 = 0.0000040531158447, L(p,q)-L0 = 0.0000009536743164
t = 44.9999, H(p,q)-H0 = 0.0000039339065552, L(p,q)-L0 = 0.0000008344650269
ROOT RETURN:	t = 45.0133 g[0] =  -1, y[0] = -0.658886, y[1] = 0.798617
t = 45.0133, H(p,q)-H0 = 0.0000039339065552, L(p,q)-L0 = 0.0000008344650269
t = 45.0999, H(p,q)-H0 = 0.0000038743019104, L(p,q)-L0 = 0.0000007152557373
t = 45.1999, H(p,q)-H0 = 0.0000037848949432, L(p,q)-L0 = 0.0000006556510925
t = 45.2999, H(p,q)-H0 = 0.0000035762786865, L(p,q)-L0 = 0.0000005960464478
t = 45.3999, H(p,q)-H0 = 0.0000035762786865, L(p,q)-L0 = 0.0000005960464478
t = 45.4999, H(p,q)-H0 = 0.0000036060810089, L(p,q)-L0 = 0.0000007152557373
t = 45.5999, H(p,q)-H0 = 0.0000032782554626, L(p,q)-L0 = 0.0000003576278687
t = 45.6999, H(p,q)-H0 = 0.0000030994415283, L(p,q)-L0 = 0.0000002384185791
t = 45.7999, H(p,q)-H0 = 0.0000032484531403, L(p,q)-L0 = 0.0000002384185791
t = 45.8999, H(p,q)-H0 = 0.0000029504299164, L(p,q)-L0 = 0.0000000000000000
t = 45.9999, H(p,q)-H0 = 0.0000029206275940, L(p,q)-L0 = -0.0000000596046448
t = 46.0999, H(p,q)-H0 = 0.0000027120113373, L(p,q)-L0 = -0.0000003576278687
t = 46.1999, H(p,q)-H0 = 0.0000025928020477, L(p,q)-L0 = -0.0000004172325134
t = 46.2999, H(p,q)-H0 = 0.0000026822090149, L(p,q)-L0 = -0.0000003576278687
t = 46.3999, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000005364418030
t = 46.4999, H(p,q)-H0 = 0.0000024437904358, L(p,q)-L0 = -0.0000007152557373
t = 46.5999, H(p,q)-H0 = 0.0000025928020477, L(p,q)-L0 = -0.0000006556510925
t = 46.6999, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000007152557373
t = 46.7999, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000007152557373
t = 46.8999, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000007152557373
t = 46.9999, H(p,q)-H0 = 0.0000024437904358, L(p,q)-L0 = -0.0000008344650269
t = 47.0999, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000009536743164
t = 47.1999, H(p,q)-H0 = 0.0000025331974030, L(p,q)-L0 = -0.0000008344650269
t = 47.2999, H(p,q)-H0 = 0.0000024139881134, L(p,q)-L0 = -0.0000010132789612
t = 47.3998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000008344650269
t = 47.4998, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000008344650269
t = 47.5998, H(p,q)-H0 = 0.0000022053718567, L(p,q)-L0 = -0.0000011920928955
t = 47.6998, H(p,q)-H0 = 0.0000024735927582, L(p,q)-L0 = -0.0000007748603821
t = 47.7998, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000007748603821
t = 47.8998, H(p,q)-H0 = 0.0000026226043701, L(p,q)-L0 = -0.0000007748603821
t = 47.9998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000009536743164
t = 48.0998, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000008344650269
t = 48.1998, H(p,q)-H0 = 0.0000024139881134, L(p,q)-L0 = -0.0000010132789612
t = 48.2998, H(p,q)-H0 = 0.0000024139881134, L(p,q)-L0 = -0.0000009536743164
t = 48.3998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000008344650269
t = 48.4998, H(p,q)-H0 = 0.0000026226043701, L(p,q)-L0 = -0.0000007152557373
t = 48.5998, H(p,q)-H0 = 0.0000026226043701, L(p,q)-L0 = -0.0000007152557373
t = 48.6998, H(p,q)-H0 = 0.0000026524066925, L(p,q)-L0 = -0.0000005960464478
t = 48.7998, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000006556510925
t = 48.8998, H(p,q)-H0 = 0.0000024437904358, L(p,q)-L0 = -0.0000007748603821
t = 48.9998, H(p,q)-H0 = 0.0000025331974030, L(p,q)-L0 = -0.0000007152557373
t = 49.0998, H(p,q)-H0 = 0.0000021457672119, L(p,q)-L0 = -0.0000010728836060
t = 49.1998, H(p,q)-H0 = 0.0000023245811462, L(p,q)-L0 = -0.0000010728836060
t = 49.2998, H(p,q)-H0 = 0.0000019669532776, L(p,q)-L0 = -0.0000013113021851
t = 49.3998, H(p,q)-H0 = 0.0000026822090149, L(p,q)-L0 = -0.0000010132789612
t = 49.4998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000011920928955
t = 49.5998, H(p,q)-H0 = 0.0000023841857910, L(p,q)-L0 = -0.0000012516975403
t = 49.6998, H(p,q)-H0 = 0.0000026822090149, L(p,q)-L0 = -0.0000010132789612
t = 49.7998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000010728836060
t = 49.8998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000011920928955
t = 49.9998, H(p,q)-H0 = 0.0000023841857910, L(p,q)-L0 = -0.0000013113021851
t = 50.0998, H(p,q)-H0 = 0.0000023841857910, L(p,q)-L0 = -0.0000013113021851
ROOT RETURN:	t = 50.1515 g[0] =   1, y[0] = 0.361065, y[1] = -0.22105
t = 50.1515, H(p,q)-H0 = 0.0000022649765015, L(p,q)-L0 = -0.0000011920928955
t = 50.1998, H(p,q)-H0 = 0.0000023841857910, L(p,q)-L0 = -0.0000012516975403
t = 50.2998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000011324882507
t = 50.3998, H(p,q)-H0 = 0.0000021457672119, L(p,q)-L0 = -0.0000013113021851
t = 50.4998, H(p,q)-H0 = 0.0000022649765015, L(p,q)-L0 = -0.0000011920928955
t = 50.5998, H(p,q)-H0 = 0.0000023841857910, L(p,q)-L0 = -0.0000010728836060
t = 50.6998, H(p,q)-H0 = 0.0000029802322388, L(p,q)-L0 = -0.0000007748603821
t = 50.7998, H(p,q)-H0 = 0.0000032186508179, L(p,q)-L0 = -0.0000006556510925
t = 50.8998, H(p,q)-H0 = 0.0000035762786865, L(p,q)-L0 = -0.0000004172325134
t = 50.9998, H(p,q)-H0 = 0.0000034570693970, L(p,q)-L0 = -0.0000004172325134
t = 51.0998, H(p,q)-H0 = 0.0000032782554626, L(p,q)-L0 = -0.0000007152557373
t = 51.1998, H(p,q)-H0 = 0.0000029802322388, L(p,q)-L0 = -0.0000010132789612
ROOT RETURN:	t = 51.2965 g[0] =  -1, y[0] = -0.65897, y[1] = 0.79861
t = 51.2965, H(p,q)-H0 = 0.0000026822090149, L(p,q)-L0 = -0.0000011920928955
t = 51.2998, H(p,q)-H0 = 0.0000027716159821, L(p,q)-L0 = -0.0000011920928955
t = 51.3998, H(p,q)-H0 = 0.0000024735927582, L(p,q)-L0 = -0.0000013709068298
t = 51.4998, H(p,q)-H0 = 0.0000025629997253, L(p,q)-L0 = -0.0000013113021851
t = 51.5998, H(p,q)-H0 = 0.0000025033950806, L(p,q)-L0 = -0.0000013113021851
t = 51.6998, H(p,q)-H0 = 0.0000025928020477, L(p,q)-L0 = -0.0000011920928955
t = 51.7998, H(p,q)-H0 = 0.0000025928020477, L(p,q)-L0 = -0.0000010728836060
