
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 1
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000002384185791, L(p,q) = 0.7999999523162842
t = 26.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 26.1001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
ROOT RETURN:	t = 26.1634 g[0] =  -1, y[0] = -0.658774, y[1] = 0.798617
t = 26.1634, H(p,q)-H0 = -0.0000001788139343, L(p,q)-L0 = -0.0000002384185791
t = 26.2001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 26.3001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 26.4001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 26.5001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 26.6001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 26.7001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 26.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 26.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.1001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.2001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.3001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 27.4001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 27.5001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.6001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 27.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 27.8001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 27.9001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 28.0001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 28.1001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 28.2001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 28.3001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 28.4001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 28.5001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 28.6001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 28.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 28.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 28.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 29.0001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.1001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.2001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 29.3001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.4001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.5001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 29.6001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 29.8001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 29.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 30.0001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 30.1001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 30.2001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 30.3001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 30.4001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 30.5001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 30.6001, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 30.7001, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 30.8001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 30.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 31.0001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 31.1001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 31.2001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 31.3001, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 31.3018 g[0] =   1, y[0] = 0.361067, y[1] = -0.221053
t = 31.3018, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000000596046448
t = 31.4001, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 31.5001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 31.6001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 31.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 31.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 31.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 32.0001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 32.1001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 32.2001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 32.3001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 32.4001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 32.4468 g[0] =  -1, y[0] = -0.658967, y[1] = 0.798608
t = 32.4468, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 32.5001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 32.6001, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 32.7001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 32.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 32.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.1001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.2001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.3001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 33.4001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.5001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 33.6001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.7001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 33.8001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 33.9001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 34.0001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 34.1001, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 34.2001, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 34.3000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 34.4000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 34.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 34.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 34.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 34.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 34.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 35.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 35.1000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 35.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 35.3000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 35.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 35.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 35.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 35.7000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 35.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 35.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 36.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 36.1000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 36.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 36.3000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 36.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 36.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 36.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 36.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 36.8000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 36.9000, H(p,q)-H0 = -0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 37.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 37.1000, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 37.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 37.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 37.4000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 37.5000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 37.5849 g[0] =   1, y[0] = 0.361068, y[1] = -0.221049
t = 37.5849, H(p,q)-H0 = -0.0000023841857910, L(p,q)-L0 = -0.0000007152557373
t = 37.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 37.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 37.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 37.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 38.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 38.1000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 38.2000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 38.3000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 38.4000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 38.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 38.6000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 38.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 38.7300 g[0] =  -1, y[0] = -0.659025, y[1] = 0.798605
t = 38.7300, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 38.8000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 38.9000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 39.0000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 39.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 39.2000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 39.3000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 39.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 39.5000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 39.6000, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 39.7000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 39.8000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 39.9000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 40.0000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 40.1000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 40.2000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 40.3000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 40.4000, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 40.5000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 40.6000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 40.7000, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 40.7999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 40.8999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 40.9999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 41.0999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 41.1999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 41.2999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 41.3999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 41.4999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 41.5999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 41.6999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 41.7999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 41.8999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 41.9999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 42.0999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 42.1999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 42.2999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 42.3999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 42.4999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 42.5999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 42.6999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 42.7999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 42.8999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 42.9999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 43.0999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 43.1999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 43.2999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 43.3999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = -0.0000000596046448
t = 43.4999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 43.5999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 43.6999, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 43.7999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 43.8680 g[0] =   1, y[0] = 0.361068, y[1] = -0.22105
t = 43.8680, H(p,q)-H0 = 0.0000026226043701, L(p,q)-L0 = 0.0000007748603821
t = 43.8999, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 43.9999, H(p,q)-H0 = -0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
t = 44.0999, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 44.1999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 44.2999, H(p,q)-H0 = -0.0000001192092896, L(p,q)-L0 = -0.0000000596046448
t = 44.3999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 44.4999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 44.5999, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 44.6999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 44.7999, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000596046448
t = 44.8999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 44.9999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 45.0129 g[0] =  -1, y[0] = -0.65888, y[1] = 0.798612
t = 45.0129, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
t = 45.0999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 45.1999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 45.2999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 45.3999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 45.4999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 45.5999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 45.6999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 45.7999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 45.8999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 45.9999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 46.0999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 46.1999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 46.2999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 46.3999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 46.4999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 46.5999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 46.6999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 46.7999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 46.8999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 46.9999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 47.0999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 47.1999, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 47.2999, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 47.3998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 47.4998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 47.5998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 47.6998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 47.7998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 47.8998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 47.9998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 48.0998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 48.1998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 48.2998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
t = 48.3998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 48.4998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 48.5998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 48.6998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 48.7998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 48.8998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 48.9998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 49.0998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 49.1998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 49.2998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 49.3998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 49.4998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 49.5998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 49.6998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 49.7998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 49.8998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 49.9998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 50.0998, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000000000000
ROOT RETURN:	t = 50.1511 g[0] =   1, y[0] = 0.361066, y[1] = -0.221055
t = 50.1511, H(p,q)-H0 = -0.0000007152557373, L(p,q)-L0 = -0.0000002384185791
t = 50.1998, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000000000000000
t = 50.2998, H(p,q)-H0 = 0.0000002384185791, L(p,q)-L0 = 0.0000000596046448
t = 50.3998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 50.4998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 50.5998, H(p,q)-H0 = 0.0000003576278687, L(p,q)-L0 = 0.0000000596046448
t = 50.6998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 50.7998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000596046448
t = 50.8998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = -0.0000000596046448
t = 50.9998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 51.0998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 51.1998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000596046448
ROOT RETURN:	t = 51.2961 g[0] =  -1, y[0] = -0.659011, y[1] = 0.798606
t = 51.2961, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000000000000
t = 51.2998, H(p,q)-H0 = 0.0000000000000000, L(p,q)-L0 = 0.0000000000000000
t = 51.3998, H(p,q)-H0 = 0.0000000596046448, L(p,q)-L0 = 0.0000000596046448
t = 51.4998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 51.5998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 51.6998, H(p,q)-H0 = 0.0000001192092896, L(p,q)-L0 = 0.0000000000000000
t = 51.7998, H(p,q)-H0 = 0.0000001788139343, L(p,q)-L0 = 0.0000000000000000
